created_at,tree_id,block_id,the_geom,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
09/05/2015,203719,302371,"{'type': 'Point', 'coordinates': [-73.91117076849402, 40.78242822973097]}",11,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,20-025 24 STREET,11105,Astoria,401,4,Queens,22,36,13,QN72,Steinway,4010500,New York,40.78242823,-73.91117077,1008850.18504,224349.036588
09/05/2015,203726,302371,"{'type': 'Point', 'coordinates': [-73.91201956608866, 40.78173511421239]}",8,0,OnCurb,Alive,Poor,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,20-055 24 STREET,11105,Astoria,401,4,Queens,22,36,13,QN72,Steinway,4010500,New York,40.78173511,-73.91201957,1008615.37449,224096.27397
09/01/2015,195202,415896,"{'type': 'Point', 'coordinates': [-74.16267038247524, 40.55710259269471]}",13,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,35 FENWAY CIRCLE,10308,Staten Island,503,5,Staten Island,51,62,24,SI54,Great Kills,5014607,New York,40.55710259,-74.16267038,939047.968345,142285.957932
08/30/2015,189465,219493,"{'type': 'Point', 'coordinates': [-73.96821054029427, 40.69473313907219]}",22,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,3or4,Harmful,NoDamage,Volunteer,RootOther,No,No,Yes,No,No,No,No,No,No,100 WAVERLY AVENUE,11205,Brooklyn,302,3,Brooklyn,35,50,25,BK69,Clinton Hill,3019100,New York,40.69473314,-73.96821054,993065.30388,192388.065077
08/31/2015,192998,211160,"{'type': 'Point', 'coordinates': [-73.92113023015189, 40.664317398984245]}",30,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,1or2,None,Damage,Volunteer,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,2126 UNION STREET,11212,Brooklyn,316,3,Brooklyn,41,55,20,BK81,Brownsville,3090000,New York,40.6643174,-73.92113023,1006130.77709,181314.985517
08/30/2015,189834,219505,"{'type': 'Point', 'coordinates': [-73.96760066006317, 40.69331418041053]}",12,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,3or4,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,449 MYRTLE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,50,25,BK69,Clinton Hill,3019100,New York,40.69331418,-73.96760066,993234.616533,191871.15863
09/05/2015,204208,204913,"{'type': 'Point', 'coordinates': [-73.99159679617637, 40.593787550585226]}",2,0,OnCurb,Alive,Fair,Ginkgo biloba,ginkgo,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,8797 25 AVENUE,11214,Brooklyn,311,3,Brooklyn,47,47,23,BK29,Bensonhurst East,3030400,New York,40.59378755,-73.9915968,986583.759428,155609.338438
08/20/2015,161339,230864,"{'type': 'Point', 'coordinates': [-73.96452446822275, 40.64878769169177]}",14,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1601 CHURCH AVENUE,11226,Brooklyn,314,3,Brooklyn,40,42,21,BK42,Flatbush,3051200,New York,40.64878769,-73.96452447,994094.240798,175649.224211
08/29/2015,187311,342816,"{'type': 'Point', 'coordinates': [-73.8652999186246, 40.73764622495205]}",14,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,NoDamage,Volunteer,"TrunkLights,BranchLights",No,No,No,No,Yes,No,Yes,No,No,55-026 96 STREET,11373,Elmhurst,404,4,Queens,21,35,13,QN25,Corona,4044302,New York,40.73764622,-73.86529992,1021578.64449,208049.712887
09/07/2015,208201,219258,"{'type': 'Point', 'coordinates': [-73.97258754060326, 40.69149917038739]}",10,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,Helpful,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,206 CARLTON AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK68,Fort Greene,3018300,New York,40.69149917,-73.97258754,991851.918511,191209.425046
08/31/2015,193093,225564,"{'type': 'Point', 'coordinates': [-73.98588943758692, 40.66123875468547]}",11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,367 PROSPECT AVENUE,11215,Brooklyn,307,3,Brooklyn,38,44,21,BK37,Park Slope-Gowanus,3014900,New York,40.66123875,-73.98588944,988164.863221,180183.813895
08/31/2015,193310,107600,"{'type': 'Point', 'coordinates': [-73.96045570742453, 40.77217147708009]}",14,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Unsure,Damage,Volunteer,"RootOther,TrunkOther,BranchOther",No,No,Yes,No,No,Yes,No,No,Yes,170 EAST 75 STREET,10021,New York,108,1,Manhattan,4,73,28,MN40,Upper East Side-Carnegie Hill,1012800,New York,40.77217148,-73.96045571,995203.003673,220602.155302
09/03/2015,199760,107038,"{'type': 'Point', 'coordinates': [-73.98096427881879, 40.78208719997997]}",4,0,OnCurb,Alive,Fair,Quercus phellos,willow oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2163 BROADWAY,10024,New York,107,1,Manhattan,6,67,29,MN12,Upper West Side,1016300,New York,40.7820872,-73.98096428,989521.741413,224212.887582
09/05/2015,204325,415427,"{'type': 'Point', 'coordinates': [-74.13856340070123, 40.56882124262724]}",9,0,OnCurb,Alive,Good,Acer pseudoplatanus,sycamore maple,None,None,NoDamage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,301 THOMAS STREET,10306,Staten Island,503,5,Staten Island,50,62,24,SI25,Oakwood-Oakwood Beach,5013800,New York,40.56882124,-74.1385634,945753.443123,146543.824416
08/30/2015,189700,223525,"{'type': 'Point', 'coordinates': [-73.97218377293484, 40.67483918746511]}",2,0,OnCurb,Alive,Good,Quercus phellos,willow oak,3or4,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,26 8 AVENUE,11217,Brooklyn,306,3,Brooklyn,39,52,21,BK37,Park Slope-Gowanus,3015900,New York,40.67483919,-73.97218377,991965.817234,185139.74624
09/05/2015,205044,206800,"{'type': 'Point', 'coordinates': [-73.98917142531711, 40.594936285011926]}",5,0,OnCurb,Alive,Good,Acer ginnala,Amur maple,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,134 BAY 40 STREET,11214,Brooklyn,311,3,Brooklyn,47,47,22,BK29,Bensonhurst East,3030200,New York,40.59493629,-73.98917143,987257.287937,156027.925527
08/31/2015,192942,310298,"{'type': 'Point', 'coordinates': [-73.82499154919253, 40.706533516902155]}",33,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,Helpful,NoDamage,TreesCount Staff,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,84-036 127 STREET,11415,Kew Gardens,409,4,Queens,29,27,14,QN60,Kew Gardens,4013800,New York,40.70653352,-73.82499155,1032771.70019,196734.164652
